ref,name,city
133,Jutrzenki SAM,Bielsko Biała
113,Grunwaldzka Szpital,Bielsko Biała
171,Konopnickiej Szpital,Bielsko Biała
169,Konopnickiej Pawilon,Bielsko Biała

168,Konopnickiej Pawilon,Bielsko Biała
170,Konopnickiej Szpital,Bielsko Biała
112,Grunwaldzka Szpital,Bielsko Biała
198,Lenartowicza,Bielsko Biała
134,Jutrzenki SAM,Bielsko Biała
136,Osiedle Złote Łany,Bielsko Biała
214,Łagodna Szkoła,Bielsko Biała
216,Łagodna Złotych Kłosów,Bielsko Biała
333,Urodzajna Osiedle Langiewicza,Bielsko Biała
331,Tuwima Osiedle Langiewicza,Bielsko Biała

129,Jaworzańska Zagłoby,Bielsko Biała
372,Zapora Jaworzańska,Bielsko Biała

328,Wapienica Zapora,Bielsko Biała
373,Zapora Klimczokówka,Bielsko Biała
375,Zapora Sklep,Bielsko Biała
131,Jaworzańska Zapora,Bielsko Biała
130,Jaworzańska Zagłoby,Bielsko Biała
57,Wapienica Centrum,Bielsko Biała

276,Podwale Dworzec,Bielsko Biała
85,Gazownicza,Bielsko Biała
271,Piekarska B-B Wschód,Bielsko Biała
273,Piekarska Wyzwolenia,Bielsko Biała
349,Witosa Szkoła,Bielsko Biała

347,Krzemionki Witosa,Bielsko Biała
348,Witosa Szkoła,Bielsko Biała
357,Wyzwolenia Bukietowa,Bielsko Biała
272,Piekarska Wyzwolenia,Bielsko Biała
270,Piekarska B-B Wschód,Bielsko Biała

46,Bora-Komorowskiego Gemini Park,Bielsko Biała
25,Armii Krajowej Szpital,Bielsko Biała
86,Gościnna Armii Krajowej,Bielsko Biała
88,Gościnna Działki,Bielsko Biała
92,Gościnna Kolista,Bielsko Biała
90,Gościnna Karpacka,Bielsko Biała
146,Karpacka Pawilon,Bielsko Biała
140,Karpacka Dom Kultury,Bielsko Biała
142,Karpacka Mostek,Bielsko Biała
144,Karpacka Osiedle,Bielsko Biała
207,Listopadowa,Bielsko Biała
234,Nad Potokiem Listopadowa,Bielsko Biała
236,Nad Potokiem Stoczniowa,Bielsko Biała
238,Nad Potokiem Zuchów,Bielsko Biała
306,Stare Bielsko Kościół,Bielsko Biała

305,Stare Bielsko Kościół,Bielsko Biała
237,Nad Potokiem Zuchów,Bielsko Biała
235,Nad Potokiem Stoczniowa,Bielsko Biała
233,Nad Potokiem Listopadowa,Bielsko Biała
32,Asnyka,Bielsko Biała
145,Karpacka Osiedle,Bielsko Biała
143,Karpacka Mostek,Bielsko Biała
141,Karpacka Dom Kultury,Bielsko Biała
147,Karpacka Pawilon,Bielsko Biała
91,Gościnna Karpacka,Bielsko Biała
93,Gościnna Kolista,Bielsko Biała
89,Gościnna Działki,Bielsko Biała
87,Gościnna Armii Krajowej,Bielsko Biała
47,Bora-Komorowskiego Gemini Park,Bielsko Biała

210,Lwowska Wyzwolenia,Bielsko Biała
106,Grażyńskiego Fiat I,Bielsko Biała

107,Grażyńskiego Fiat II,Bielsko Biała
105,Grażyńskiego Fiat I,Bielsko Biała
362,Wyzwolenia Piekarska,Bielsko Biała

379,Mikuszowice Stalownik,Bielsko Biała
386,Żywiecka Mikuszowice Krakowskie,Bielsko Biała
377,Mikuszowice Dom Ludowy,Bielsko Biała
380,Żywiecka Dworek,Bielsko Biała
390,Żywiecka Pawia,Bielsko Biała

391,Żywiecka Pawia,Bielsko Biała
381,Żywiecka Dworek,Bielsko Biała
378,Mikuszowice Dom Ludowy,Bielsko Biała
387,Żywiecka Mikuszowice Krakowskie,Bielsko Biała



30,Szpital Wojewódzki,Bielsko Biała
11,Andersa Osiedle Karpackie Kościół,Bielsko Biała
19,Andersa Osiedle Karpackie Kolista,Bielsko Biała
5,Osiedle Beskidzkie Kładka,Bielsko Biała

6,Osiedle Beskidzkie Kładka,Bielsko Biała
12,Andersa Osiedle Karpackie Kościół,Bielsko Biała

314,Stojałowskiego Pawilon,Bielsko Biała
294,Sarni Stok,Bielsko Biała
291,Sarni Potok,Bielsko Biała

289,Osiedle Sarni Stok,Bielsko Biała
290,Sarni Potok,Bielsko Biała
293,Sarni Stok,Bielsko Biała
315,Stojałowskiego Pawilon,Bielsko Biała



297,Sobieskiego Piastów Śląskich,Bielsko Biała
296,Sobieskiego Olecka,Bielsko Biała
301,Sobieskiego Spółdzielnia,Bielsko Biała
426,Sobieskiego Stare Bielsko,Bielsko Biała
421,Sobieskiego Komandorska,Bielsko Biała
423,Sobieskiego Dożynkowa,Bielsko Biała

422,Sobieskiego Dożynkowa,Bielsko Biała
420,Sobieskiego Komandorska,Bielsko Biała
304,Sobieskiego Stare Bielsko,Bielsko Biała
300,Sobieskiego Spółdzielnia,Bielsko Biała
295,Sobieskiego Olecka,Bielsko Biała
299,Sobieskiego Sklep,Bielsko Biała
298,Sobieskiego Piastów Śląskich,Bielsko Biała

14,Andersa Stare Bielsko,Bielsko Biała
18,Andersa Wzniesienie,Bielsko Biała
8,Andersa Francuska,Bielsko Biała
16,Andersa Wiadukt,Bielsko Biała
10,Andersa Granica,Bielsko Biała

2240,Mazańcowice Spółdzielnia,Bielsko Biała
9,Andersa Granica,Bielsko Biała
15,Andersa Wiadukt,Bielsko Biała
7,Andersa Francuska,Bielsko Biała
17,Andersa Wzniesienie,Bielsko Biała
13,Andersa Stare Bielsko,Bielsko Biała

241,Norwida Kościół,Bielsko Biała

337,Wapienna Osiedle,Bielsko Biała
336,Wapienna Norwida,Bielsko Biała

185,Krakowska Solskiego,Bielsko Biała
181,Krakowska Krzyżowa,Bielsko Biała
183,Krakowska Lipnik Górny,Bielsko Biała
179,Krakowska Kopiec,Bielsko Biała
284,Polna Wróblowicka,Bielsko Biała
282,Polna Św. Franciszka,Bielsko Biała
280,Polna Odrzańska,Bielsko Biała
278,Polna Cmentarz,Bielsko Biała
189,Księdza Brzóski Kościół,Bielsko Biała

401,Księdza Brzóski Kościół,Bielsko Biała
277,Polna Cmentarz,Bielsko Biała
279,Polna Odrzańska,Bielsko Biała
281,Polna/Św. Franciszka,Bielsko Biała
283,Polna Wróblowicka,Bielsko Biała
178,Krakowska Kopiec,Bielsko Biała
182,Krakowska Lipnik Górny,Bielsko Biała
180,Krakowska Krzyżowa,Bielsko Biała
184,Krakowska Solskiego,Bielsko Biała

308,Osiedle Karpackie,Bielsko Biała
313,Stawowa,Bielsko Biała

312,Stawowa,Bielsko Biała

108,Grażyńskiego Fiat II,Bielsko Biała
111,Grażyńskiego Mazańcowicka,Bielsko Biała
159,Komorowicka Kościół,Bielsko Biała
246,Komorowice Olimpijska,Bielsko Biała
41,Bestwińska Zakręt,Bielsko Biała
39,Bestwińska Oczyszczalnia,Bielsko Biała
35,Bestwińska Cegielnia,Bielsko Biała
37,Bestwińska Krompark,Bielsko Biała

43,Komorowice Sosna,Bielsko Biała
38,Bestwińska Krompark,Bielsko Biała
36,Bestwińska Cegielnia,Bielsko Biała
40,Bestwińska Oczyszczalnia,Bielsko Biała
42,Bestwińska Zakręt,Bielsko Biała
71,Daszyńskiego Stażystów,Bielsko Biała
245,Komorowice Olimpijska,Bielsko Biała
160,Komorowicka Kościół,Bielsko Biała
110,Grażyńskiego Mazańcowicka,Bielsko Biała

158,Komorowicka Czerwona,Bielsko Biała
162,Komorowicka Mostek,Bielsko Biała
164,Komorowicka Piekarnia,Bielsko Biała

163,Komorowicka Piekarnia,Bielsko Biała
161,Komorowicka Mostek,Bielsko Biała



355,Hałcnów Kościół,Bielsko Biała
367,Wyzwolenia Spółdzielnia,Bielsko Biała
359,Wyzwolenia Wawelska,Bielsko Biała

356,Hałcnów Granica,Bielsko Biała
358,Wyzwolenia Wawelska,Bielsko Biała
366,Wyzwolenia Spółdzielnia,Bielsko Biała

345,Warszawska Tesco,Bielsko Biała
219,Mazańcowicka Łącznik,Bielsko Biała
220,Mazańcowicka Skrzyżowanie,Bielsko Biała
115,Hałcnowska Beczałka,Bielsko Biała
117,Hałcnowska Na Żądanie,Bielsko Biała
121,Hałcnowska Sklep,Bielsko Biała
123,Hałcnowska Stolarnia,Bielsko Biała
119,Hałcnowska Piekarnia,Bielsko Biała

118,Hałcnowska Piekarnia,Bielsko Biała
122,Hałcnowska Stolarnia,Bielsko Biała
120,Hałcnowska Sklep,Bielsko Biała
116,Hałcnowska Na Żądanie,Bielsko Biała
