busA,line,busB
2168,56,2170

2172,56,2171
2171,56,2169
2169,56,2163
2163,56,2165
2165,56,128
128,56,126
126,56,363
357,56,362
362,56,274

82,57,83
83,57,341
54,57,2028
2028,57,2030
2030,57,2032
2032,57,2034
2034,57,2036

2038,57,2037
2037,57,2035
2035,57,2033
2033,57,2031
2031,57,2029
2029,57,56
342,57,84

209,6,185

186,6,178
184,6,208

403,7,137
137,7,138
138,7,146
265,7,350
350,7,352
352,7,303
303,7,49
49,7,61
61,7,59
66,7,79

81,7,57
58,7,60
60,7,48
48,7,302
302,7,351
351,7,269
147,7,139
139,7,137
137,7,402

31,8,22
22,8,26
26,8,20
20,8,28
28,8,24

255,8,25
25,8,29
29,8,21
21,8,27
27,8,23



363,D,370

348,D,370

309,N1,312
312,N1,63

62,N1,313
313,N1,132
12,N1,44

72,N2,380
390,N2,213
428,N2,205
206,N2,180
3,N2,335

159,N2,363
167,N2,315
185,N2,206
200,N2,392
136,N2,75

